0.76, 0.38
0.66, 0.1
0.65, 0
0.75, 0.05
0.87, 0.2
1.07, 0.12
1.16, 0.18
1.09, 0.3
0.94, 0.42
-,-
0.965926, 0.258819
0.866025, 0.5
0.707107, 0.707107
0.5, 0.866025
0.258819, 0.965926
-4.37114e-08, 1
0.258819, 1
-,-
-0.258819, 0.965926
-0.5, 0.866025
-0.707107, 0.707107
-0.866025, 0.5
-0.965926, 0.258819
-1, -8.74228e-08
-0.965926, -0.258819
-0.866025, -0.5
-0.707107, -0.707107
-0.5, -0.866025
-0.258819, -0.965926
1.19249e-08, -1
0.258819, -0.965926
0.5, -0.866025
0.707107, -0.707107
0.866026, -0.5
0.965926, -0.258819

